FishCode,FishDesc,Consigned,Sold,LowPrice,AvgPrice,HighPrice,MonthNum,YearNum,FishGroup
FYWX,Yellowtail | mixed,1.0,1,1.28,1.28,1.28,1,2012,Yellowtail
CADS,Cod | scrod,62.0,62,1.6,1.92,2.44,1,2012,Cod
HDDS,Haddock | scrod,409.0,276,0.0,1.7,2.1,1,2012,Haddock
PADL,"Pollock, Atl | large",28497.0,28497,0.97,1.31,2.32,1,2012,Pollock
HDDL,Haddock | large,705.0,705,2.01,3.23,4.97,1,2012,Haddock
HWSJ,"Hake, white | sow",2582.0,2582,0.96,1.82,3.18,1,2012,Hake
HWSS,"Hake, white | small",312.0,147,0.0,0.56,0.63,1,2012,Hake
POWX,Redfish | mixed,20684.0,20684,0.5,0.77,1.32,1,2012,Redfish
HWSM,"Hake, white | medium",1280.0,913,0.0,0.91,1.17,1,2012,Hake
PADM,"Pollock, Atl | medium",38129.0,38129,0.7,1.19,2.34,1,2012,Pollock
PADS,"Pollock, Atl | small",47898.0,47898,0.68,0.92,2.54,1,2012,Pollock
FADM,"Halibut, Atlantic | 50-85",56.0,56,9.0,9.0,9.0,1,2012,Halibut
HWSL,"Hake, white | large",12794.0,11732,0.86,1.46,3.06,1,2012,Hake
CADL,Cod | large,6265.0,6265,2.03,3.21,5.86,2,2012,Cod
